carrier_id,carrier,carrier_name
1,9E,Endeavor Air Inc.
2,AA,American Airlines Inc.
3,AS,Alaska Airlines Inc.
4,B6,JetBlue Airways
5,DL,Delta Air Lines Inc.
6,F9,Frontier Airlines Inc.
7,G4,Allegiant Air
8,HA,Hawaiian Airlines Inc.
9,MQ,Envoy Air
10,NK,Spirit Air Lines
11,OH,PSA Airlines Inc.
12,OO,SkyWest Airlines Inc.
13,QX,Horizon Air
14,UA,United Air Lines Inc.
15,WN,Southwest Airlines Co.
16,YV,Mesa Airlines Inc.
17,YX,Republic Airline
18,EV,ExpressJet Airlines Inc.
19,VX,Virgin America
20,US,US Airways Inc.
21,FL,AirTran Airways Corporation
22,XE,ExpressJet Airlines Inc.
23,CO,Continental Air Lines Inc.
24,OH (1),Comair Inc.
25,NW,Northwest Airlines Inc.
26,AQ,Aloha Airlines Inc.
27,TZ,ATA Airlines d/b/a ATA
28,RU,ExpressJet Airlines Inc.
29,DH,Independence Air
30,HP,America West Airlines Inc.
